synapse_id	x_px	y_px	z_px	size_px	distance	detection_uncertainty	node_id	node_x_px	node_y_px	node_z_px	node_count	nearest_connector_id	nearest_connector_distance_nm	nearest_connector_x_nm	nearest_connector_y_nm	nearest_connector_z_nm
1869	10129	5136	216	304	0.087738	0.655329	32202	9982	5198	216	3	32169	784.545728431428	40080.0	21190.0	9630.0
1870	10122	5153	216	48	0.0857259	0.553125	32202	9982	5198	216	3	32169	713.1956253371161	40080.0	21190.0	9630.0
1871	10122	5205	216	45	0.0826162	0.5	32202	9982	5198	216	3	32169	558.0895985413094	40080.0	21190.0	9630.0
1872	10098	5337	216	285	0.0394773	0.546842	32202	9982	5198	216	3	32169	361.1204785109812	40080.0	21190.0	9630.0
1873	10150	5083	216	211	0.10004	0.53478674866011922	32201	10024	5227	216	1	-1	9999999.0	-1	-1	-1
1874	10144	5120	216	149	0.0832515	0.568591	32201	10024	5227	216	2	-1	9999999.0	-1	-1	-1
1875	10141	5150	216	54	0.0856369	0.652222	32201	10024	5227	216	2	32169	768.4113481723184	40080.0	21190.0	9630.0
1876	10139	5171	216	74	0.0817351	0.527568	32201	10024	5227	216	2	32169	700.5083868163179	40080.0	21190.0	9630.0
1880	9872	6909	148	639	0.108763	0.317199	29086	9928	6776	148	2	29134	678.2042465216507	39988.0	27180.0	6705.0
1877	9778	6655	147	245	0.0904686	0.388	29082	9881	6765	147	2	29169	451.81854764938544	39434.0	26786.0	6345.0
1878	9795	6657	148	97	0.0885822	0.433093	29086	9928	6776	148	2	29169	434.40188765704045	39434.0	26786.0	6345.0
1879	9968	6782	147	3230	0.0116052	0.321691	29082	9881	6765	147	2	29134	155.7562197795003	39988.0	27180.0	6705.0
1881	9740	6742	147	339	0.05438	0.30654866716503038	29082	9881	6765	147	1	29090	128.39003076563228	39000.0	27090.0	6615.0
1882	9762	6745	147	18	0.0558859	0.49666669633653426	29082	9881	6765	147	1	29090	120.01666550941998	39000.0	27090.0	6615.0
1883	9732	6893	147	47	0.0660254	0.29000002272585601	29082	9881	6765	147	1	29090	487.3479249981475	39000.0	27090.0	6615.0
1884	9730	6751	149	968	0.0221639	0.326477	29088	9759	6765	149	3	29090	147.97297050475132	39000.0	27090.0	6615.0
1885	9763	6745	149	19	0.0181704	0.48842103857743113	29088	9759	6765	149	1	29090	151.3406752991409	39000.0	27090.0	6615.0
1886	9880	6904	150	1630	0.0923969	0.411049	29087	9798	6779	150	3	29134	641.2058951694065	39988.0	27180.0	6705.0
1888	9974	6802	150	644	0.0901992	0.25836930363815025	29079	9842	6768	150	1	29134	106.17438485811914	39988.0	27180.0	6705.0
1887	9984	6759	150	131	0.163906	0.5392367239216812	29079	9842	6768	150	1	29134	159.57756734578956	39988.0	27180.0	6705.0
1889	9617	5887	6	187	0.0354033	0.389733	37785	9712	5980	6	2	-1	9999999.0	-1	-1	-1
1890	9673	5921	7	1163	0.0140875	0.311341	37784	9730	5971	7	3	37786	386.38969965567145	39038.0	23850.0	270.0
1891	9741	5955	6	107	0.009705	0.40242981242242259	37785	9712	5980	6	1	37786	79.84985911070852	39038.0	23850.0	270.0
1892	9738	5979	6	100	0.0145064	0.38490009307861328	37785	9712	5980	6	1	37786	108.40664186294121	39038.0	23850.0	270.0
1893	9742	6080	6	953	0.0263237	0.416894	37785	9712	5980	6	2	37786	475.1841748206689	39038.0	23850.0	270.0
1894	9755	6114	6	31	0.0958895	0.45709677665464343	37785	9712	5980	6	1	37786	606.2672677953182	39038.0	23850.0	270.0
1897	9662	5867	28	62	0.0155328	0.38693538788826232	37840	9677	5890	28	1	37842	112.24972160321825	38582.0	23480.0	1350.0
1898	9696	5893	28	237	0.00716292	0.46346002892602844	37840	9677	5890	28	1	37868	76.10519036176179	38860.0	23568.0	1260.0
1895	9799	5760	28	349	0.083901	0.35369641323144252	37840	9677	5890	28	1	37654	496.1783953378059	39228.0	23028.0	765.0
1896	9773	5834	28	35	0.0668755	0.35799996512276788	37840	9677	5890	28	1	37868	328.09754647055803	38860.0	23568.0	1260.0
1899	9695	5993	24	14	0.0765062	0.44642860548836849	37836	9676	5902	24	1	37868	449.46190049880755	38860.0	23568.0	1260.0
1900	9724	5998	22	2879	0.0190302	0.383585	37834	9676	5893	22	6	37868	503.9563473159158	38860.0	23568.0	1260.0
1901	9676	5811	21	1502	0.0205785	0.355346	37833	9712	5876	21	6	37868	478.05543611593833	38860.0	23568.0	1260.0
1902	9678	5789	21	14	0.0625695	0.33499997002737858	37833	9712	5876	21	1	37842	534.6971105214615	38582.0	23480.0	1350.0
1903	9821	5798	18	172	0.0286961	0.29738372980162153	37650	9764	5860	18	1	37654	179.0446871593793	39228.0	23028.0	765.0
1904	9913	6168	11	3336	0.00685188	0.313333	37718	9922	6131	11	8	37735	203.23631565249357	39598.0	24814.0	360.0
1905	10008	6180	8	286	0.0696532	0.368217	37726	9910	6161	8	2	37735	444.06305858515185	39598.0	24814.0	360.0
1906	9868	6150	10	62	0.0585627	0.318226	37719	9918	6142	10	3	37735	264.1439001756429	39598.0	24814.0	360.0
1907	9826	6174	12	101	0.054229	0.456931	37714	9925	6121	12	2	37735	364.3624569024641	39598.0	24814.0	360.0
1908	9939	6069	18	2284	0.0031861	0.299435	37646	9915	6013	18	6	37683	77.23341245859851	39810.0	24244.0	765.0
1909	9798	5977	17	27	0.0515076	0.61333331355342158	37647	9925	6053	17	1	37786	521.6368468580416	39038.0	23850.0	270.0
1910	9876	6189	17	12	0.097355	0.76250000794728601	37647	9925	6053	17	1	37735	419.7916149710473	39598.0	24814.0	360.0
1912	9734	5986	21	379	0.0597498	0.454406	37643	9877	5920	21	2	37868	496.36377788875774	38860.0	23568.0	1260.0
1911	10024	5893	21	258	0.0379179	0.374961	37643	9877	5920	21	2	38165	730.5340512255401	40492.0	23280.0	1485.0
1913	9893	6035	21	13	0.0432559	0.3899999765249399	37643	9877	5920	21	1	37683	316.0063290505429	39810.0	24244.0	765.0
1914	10775	5775	57	778	0.0441535	0.272262	31277	10653	5904	57	4	31280	587.6631688305811	42788.0	23598.0	2565.0
1915	10679	5859	58	56	0.04793	0.43339289937700542	31278	10660	5900	58	1	31280	182.9016128961142	42788.0	23598.0	2565.0
1916	10680	5907	57	1201	0.0110871	0.340158	31277	10653	5904	57	3	31280	74.32361670424818	42788.0	23598.0	2565.0
1917	10586	5894	58	23	0.103565	0.35391297547713574	31278	10660	5900	58	1	31280	446.8165171521751	42788.0	23598.0	2565.0
1918	9592	5605	22	677	0.03281	0.427784	38220	9605	5542	22	4	38249	126.41202474448386	38282.0	22398.0	1080.0
1919	9515	5530	22	188	0.0880319	0.429521	38220	9605	5542	22	3	38249	366.97138853049563	38282.0	22398.0	1080.0
1920	9523	5611	21	11	0.110033	0.52363638444380323	38219	9603	5534	21	1	38249	237.57314663067456	38282.0	22398.0	1080.0
1921	10097	6264	154	514	0.0142315	0.260973	28481	10144	6258	154	2	28547	76.2954782408499	40352.0	25006.0	6975.0
1922	10087	6278	156	1912	0.0069995	0.316119	28474	10137	6249	156	6	28547	115.22586515188333	40352.0	25006.0	6975.0
1923	10232	6338	160	604	0.047581	0.388278	28466	10097	6226	160	4	28433	669.0657665730627	40546.0	24902.0	7515.0
1924	10111	6093	160	342	0.0355095	0.305585	28466	10097	6226	160	2	28508	303.32820508485526	40372.0	24490.0	7470.0
